date,rainfall
1974-06-01,1.8591
1974-06-02,1.3109
1974-06-03,2.4422
1974-06-04,2.556
1974-06-05,2.6104
1974-06-06,1.362
1974-06-07,1.4283
1974-06-08,1.1395
1974-06-09,1.5742
1974-06-10,1.4923
1974-06-11,1.4234
1974-06-12,1.1904
1974-06-13,2.1852
1974-06-14,1.2909
1974-06-15,1.9604
1974-06-16,1.4601
1974-06-17,1.9536
1974-06-18,1.5614
1974-06-19,0.0562
1974-06-20,0.4549
1974-06-21,0.8753
1974-06-22,0.7112
1974-06-23,0.2018
1974-06-24,0.3198
1974-06-25,0.7178
1974-06-26,1.8621
1974-06-27,0.8605
1974-06-28,0.2594
1974-06-29,0.7948
1974-06-30,0.191
1974-07-01,0.5902
1974-07-02,0.3685
1974-07-03,0.9473
1974-07-04,0.5133
1974-07-05,0.3775
1974-07-06,1.522
1974-07-07,1.8001
1974-07-08,1.5093
1974-07-09,1.2748
1974-07-10,1.3399
1974-07-11,1.2551
1974-07-12,0.785
1974-07-13,2.1
1974-07-14,1.3956
1974-07-15,1.0776
1974-07-16,0.2765
1974-07-17,0.6693
1974-07-18,1.4483
1974-07-19,1.0317
1974-07-20,0.7079
1974-07-21,1.1506
1974-07-22,1.6144
1974-07-23,8.0517
1974-07-24,2.4908
1974-07-25,3.6539
1974-07-26,0.0766
1974-07-27,1.0086
1974-07-28,1.8648
1974-07-29,1.5922
1974-07-30,0.8074
1974-07-31,0.7712
1974-08-01,0.2342
1974-08-02,0.1097
1974-08-03,0.2904
1974-08-04,1.996
1974-08-05,1.4424
1974-08-06,1.0117
1974-08-07,0.1565
1974-08-08,0.271
1974-08-09,0.735
1974-08-10,1.5134
1974-08-11,2.0137
1974-08-12,1.7068
1974-08-13,0.6695
1974-08-14,2.4627
1974-08-15,1.6522
1974-08-16,2.1983
1974-08-17,4.2207
1974-08-18,2.1381
1974-08-19,2.9986
1974-08-20,1.1377
1974-08-21,1.0165
1974-08-22,0.6716
1974-08-23,0.0484
1974-08-24,0.0557
1974-08-25,0.0145
1974-08-26,0.0265
1974-08-27,0.0137
1974-08-28,0.0406
1974-08-29,0.0291
1974-08-30,0.0415
1974-08-31,0.2158
1974-09-01,0.0316
1974-09-02,0.1713
1974-09-03,0.1205
1974-09-04,1.127
1974-09-05,1.127
1974-09-06,0.6616
1974-09-07,1.0452
1974-09-08,1.4158
1974-09-09,1.4904
1974-09-10,0.3898
1974-09-11,1.2771
1974-09-12,0.3482
1974-09-13,1.8032
1974-09-14,2.772
1974-09-15,9.3672
1974-09-16,3.5161
1974-09-17,3.3831
1974-09-18,0.7571
1974-09-19,0.137
1974-09-20,0.5772
1974-09-21,5.0158
1974-09-22,2.0615
1974-09-23,0.3097
1974-09-24,0.6801
1974-09-25,2.2251
1974-09-26,1.509
1974-09-27,1.08
1974-09-28,0.8937
1974-09-29,1.0564
1974-09-30,2.818
1974-10-01,2.5354
1974-10-02,0.7333
1974-10-03,1.2879
1974-10-04,1.1629
1974-10-05,1.0671
1974-10-06,0.2037
1974-10-07,0.2778
1974-10-08,0.8723
1974-10-09,2.0823
1974-10-10,1.4645
1974-10-11,0.3482
1974-10-12,0.1456
1974-10-13,0.2562
1974-10-14,1.0869
1974-10-15,0.0085
1974-10-16,0.0016
1974-10-17,0.1691
1974-10-18,0.1266
1974-10-19,0.0061
1974-10-20,0.3387
1974-10-21,0.0015
1974-10-22,0
1974-10-23,0.1049
1974-10-24,0.4109
1974-10-25,1.3267
1974-10-26,0.3635
1974-10-27,0.1426
1974-10-28,2.7511
1974-10-29,1.0415
1974-10-30,4.4521
1974-10-31,2.2884
1974-11-01,0.4444
1974-11-02,0.4909
1974-11-03,0.2155
1974-11-04,0.1332
1974-11-05,0.7223
1974-11-06,0.8915
1974-11-07,3.3369
1974-11-08,13.7797
1974-11-09,7.0709
1974-11-10,2.0646
1974-11-11,5.6096
1974-11-12,4.9528
1974-11-13,5.7237
1974-11-14,2.0309
1974-11-15,3.2626
1974-11-16,21.4361
1974-11-17,1.5902
1974-11-18,0.2929
1974-11-19,0.0081
1974-11-20,0.0398
1974-11-21,0.4648
1974-11-22,0.2208
1974-11-23,5.0438
1974-11-24,1.9509
1974-11-25,2.3618
1974-11-26,1.5206
1974-11-27,1.6887
1974-11-28,0.281
1974-11-29,0.8729
1974-11-30,1.7585
1974-12-01,1.1211
1974-12-02,0.7941
1974-12-03,1.2994
1974-12-04,0.4221
1974-12-05,0.8364
1974-12-06,7.6187
1974-12-07,9.3519
1974-12-08,4.199
1974-12-09,2.9795
1974-12-10,6.7963
1974-12-11,6.9517
1974-12-12,4.2601
1974-12-13,0.6992
1974-12-14,0.5707
1974-12-15,0.4074
1974-12-16,0.1045
1974-12-17,4.9743
1974-12-18,2.7794
1974-12-19,0.7936
1974-12-20,0.696
